,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,60,3,65.0,8450,1,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,12,13,1,196.0,2,4,2,2,3,3,2,706,5,0,150,856,0,0,1,4,856,854,0,1710,1,0,2,1,3,1,2,8,5,0,1,2003.0,1,2,548,4,4,2,0,61,0,0,0,0,2,2008,8,4,208500
1,2,20,3,80.0,9600,1,3,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,1,8,8,2,0.0,3,4,1,2,3,1,0,978,5,0,284,1262,0,0,1,4,1262,0,0,1262,0,1,2,0,3,1,3,6,5,1,1,1976.0,1,2,460,4,4,2,298,0,0,0,0,0,5,2007,8,4,181500
2,3,60,3,68.0,11250,1,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,1,12,13,1,162.0,2,4,2,2,3,2,2,486,5,0,434,920,0,0,1,4,920,866,0,1786,1,0,2,1,3,1,2,6,5,1,1,2001.0,1,2,608,4,4,2,0,42,0,0,0,0,9,2008,8,4,223500
3,4,70,3,60.0,9550,1,0,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,1,13,15,2,0.0,3,4,0,3,1,3,0,216,5,0,540,756,0,2,1,4,961,756,0,1717,1,0,1,0,3,1,2,7,5,1,5,1998.0,2,3,642,4,4,2,0,35,272,0,0,0,2,2006,8,0,140000
4,5,60,3,84.0,14260,1,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,1,12,13,1,350.0,2,4,2,2,3,0,2,655,5,0,490,1145,0,0,1,4,1145,1053,0,2198,1,0,2,1,4,1,2,9,5,1,1,2000.0,1,3,836,4,4,2,192,84,0,0,0,0,12,2008,8,4,250000
5,6,50,3,85.0,14115,1,0,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,1,12,13,2,0.0,3,4,5,2,3,3,2,732,5,0,64,796,0,0,1,4,796,566,0,1362,1,0,1,1,1,1,3,5,5,0,1,1993.0,2,2,480,4,4,2,40,30,0,320,0,700,10,2009,8,4,143000
6,7,20,3,75.0,10084,1,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,1,12,13,3,186.0,2,4,2,0,3,0,2,1369,5,0,317,1686,0,0,1,4,1694,0,0,1694,1,0,2,0,3,1,2,7,5,1,1,2004.0,1,2,636,4,4,2,255,57,0,0,0,0,8,2007,8,4,307000
8,9,50,4,51.0,6120,1,3,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,1,3,15,2,0.0,3,4,0,3,3,3,5,0,5,0,952,952,0,2,1,1,1022,752,0,1774,0,0,2,0,2,2,3,8,2,2,5,1931.0,2,2,468,1,4,2,90,0,205,0,0,0,4,2008,8,0,129900
9,10,190,3,50.0,7420,1,3,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,1,8,8,2,0.0,3,4,0,3,3,3,2,851,5,0,140,991,0,0,1,4,1077,0,0,1077,1,0,1,0,2,2,3,5,5,2,1,1939.0,1,1,205,2,4,2,0,4,0,0,0,0,1,2008,8,4,118000
10,11,20,3,70.0,11200,1,3,3,0,4,0,19,2,2,0,2,5,5,1965,1965,3,1,6,6,2,0.0,3,4,1,3,3,3,4,906,5,0,134,1040,0,0,1,4,1040,0,0,1040,1,0,1,0,3,1,3,5,5,0,5,1965.0,2,1,384,4,4,2,0,0,0,0,0,0,2,2008,8,4,129500
